experiment,learning_rate,gamma,n_steps,batch_size,n_epochs,ent_coef,clip_range,gae_lambda,net_arch,mean_reward_last10,mean_reward_all
P01_baseline,0.0003,0.99,2048,64,10,0.01,0.2,0.95,"[64, 64]",138.461,121.383
P02_low_lr,0.0001,0.99,2048,64,10,0.01,0.2,0.95,"[64, 64]",132.954,118.164
P03_high_lr,0.001,0.99,2048,64,10,0.01,0.2,0.95,"[64, 64]",139.21,125.852
P04_low_gamma,0.0003,0.95,2048,64,10,0.01,0.2,0.95,"[64, 64]",137.541,123.707
P05_short_rollout,0.0003,0.99,1024,32,10,0.01,0.2,0.95,"[64, 64]",138.904,128.34
P06_large_batch,0.0003,0.99,2048,128,10,0.01,0.2,0.95,"[64, 64]",135.876,117.047
P07_more_epochs,0.0003,0.99,2048,64,20,0.01,0.2,0.95,"[64, 64]",139.062,124.591
P08_high_entropy,0.0003,0.99,2048,64,10,0.05,0.2,0.95,"[64, 64]",138.11,120.021
P09_wide_clip,0.0003,0.99,2048,64,10,0.01,0.3,0.95,"[128, 128]",139.494,126.684
P10_best_guess,0.0002,0.995,2048,64,15,0.02,0.2,0.98,"[128, 128, 64]",136.674,118.997
